customer_id,customer_name,first_order_date,registration_date,city,gender,age_group,registration_source,is_newsletter_subscriber,total_orders,total_revenue,last_order_date
CUST-00085,Gökhan Öztürk,2024-11-21,2024-11-13,Istanbul,M,25-34,Paid Search,False,2,9016.0,2025-02-25
CUST-00086,Can Aksoy,2024-10-17,2024-10-15,Mersin,M,25-34,Paid Search,True,2,16493.0,2024-12-20
CUST-00087,Kerem Gündüz,2024-01-08,2024-01-01,Diyarbakir,M,25-34,Organic Search,True,4,14392.0,2025-03-18
CUST-00088,Esra Aydın,2024-10-24,2024-10-14,Izmir,F,25-34,Paid Social,False,5,28026.0,2025-03-12
CUST-00089,Yiğit Güneş,2024-01-23,2024-01-11,Istanbul,M,45-54,Direct,True,4,27096.0,2025-02-15
CUST-00090,Tolga Sönmez,2024-06-12,2024-06-10,Izmir,M,18-24,Paid Social,False,4,18432.0,2025-03-19
CUST-00091,Yusuf Özkan,2024-09-01,2024-08-24,Ankara,M,35-44,Paid Search,True,1,8176.0,2025-01-10
CUST-00092,Meltem Bayrak,2024-04-20,2024-04-06,Ankara,F,45-54,Organic Search,True,0,0.0,
CUST-00093,Serkan Akgün,2024-01-27,2024-01-19,Ankara,M,18-24,Direct,False,1,8078.0,2025-02-20
CUST-00094,Sibel Tuncer,2024-01-20,2024-01-20,Konya,F,35-44,Organic Search,True,0,0.0,
CUST-00095,Gizem Aktaş,2024-02-22,2024-02-18,Istanbul,F,25-34,Direct,True,0,0.0,
CUST-00096,Didem Başar,2024-03-01,2024-02-22,Antalya,F,25-34,Organic Search,True,3,12085.0,2025-01-02
CUST-00097,Gökhan Akgün,2024-10-08,2024-10-04,Istanbul,M,18-24,Organic Search,False,3,6266.0,2025-03-15
CUST-00098,Seda Kılıç,2024-06-29,2024-06-23,Istanbul,F,25-34,Paid Social,False,3,12914.0,2025-01-19
CUST-00099,Özge Kara,2024-01-11,2024-01-01,Istanbul,F,18-24,Direct,True,2,12204.0,2025-01-31
CUST-00100,Mert Acar,2024-03-06,2024-02-24,Istanbul,M,18-24,Organic Search,True,5,28429.0,2024-11-28
CUST-00101,Dilan Kaplan,2024-01-17,2024-01-04,Istanbul,F,18-24,Organic Search,True,5,23701.0,2025-03-31
CUST-00102,Ece Duman,2024-02-17,2024-02-04,Istanbul,F,35-44,Paid Search,True,3,22448.0,2024-11-13
CUST-00103,Can Bayrak,2024-08-24,2024-08-20,Istanbul,M,45-54,Paid Search,False,3,30038.0,2025-03-16
CUST-00104,Burcu Kaplan,2024-06-02,2024-05-27,Izmir,F,35-44,Paid Social,True,6,21449.0,2025-03-29
CUST-00105,Ömer Aydın,2024-12-24,2024-12-24,Sakarya,M,55+,Organic Search,True,1,689.0,2025-02-28
CUST-00106,Damla Ergin,2024-08-15,2024-08-06,Ankara,F,25-34,Organic Search,True,9,39416.0,2025-03-14
CUST-00107,Uğur Bulut,2024-02-21,2024-02-14,Istanbul,M,18-24,Paid Social,True,2,3448.0,2024-10-11
CUST-00108,Efe Korkmaz,2024-09-28,2024-09-17,Istanbul,M,35-44,Direct,False,5,46373.0,2025-03-28
CUST-00109,Lale Ergin,2024-11-15,2024-11-13,Bursa,F,45-54,Referral,False,3,17303.0,2024-12-25
CUST-00110,Gökhan Tekin,2024-08-30,2024-08-28,Izmir,M,18-24,Organic Search,True,2,7205.0,2024-11-05
CUST-00111,Gökhan Çetin,2024-09-27,2024-09-21,Istanbul,M,25-34,Paid Social,True,7,30022.0,2024-12-20
CUST-00112,Esra Bulut,2024-08-12,2024-08-11,Eskisehir,F,55+,Organic Search,True,6,24906.0,2025-02-12
CUST-00113,Alper Sarı,2024-01-28,2024-01-27,Aydin,M,35-44,Direct,True,5,25380.0,2025-03-24
CUST-00114,Doruk Başar,2024-08-16,2024-08-11,Trabzon,M,45-54,Paid Search,False,2,12820.0,2024-12-10
CUST-00115,Pelin Başar,2024-06-30,2024-06-23,Eskisehir,F,18-24,Organic Search,False,0,0.0,
CUST-00116,Buse Taş,2024-06-24,2024-06-23,Istanbul,F,18-24,Organic Search,True,5,25019.0,2025-03-17
CUST-00117,Selin Koç,2024-10-10,2024-10-07,Sakarya,F,18-24,Organic Search,True,2,5956.0,2024-12-02
CUST-00118,Alperen Korkmaz,2024-03-02,2024-02-25,Adana,M,18-24,Direct,False,6,22986.0,2024-12-24
CUST-00119,Hazal Başar,2024-10-19,2024-10-17,Istanbul,F,55+,Direct,True,1,5056.0,2024-12-04
CUST-00120,Deniz Tekin,2024-10-09,2024-09-25,Gaziantep,F,45-54,Organic Search,True,2,13053.0,2025-01-26
CUST-00121,Selim Başar,2024-11-03,2024-10-20,Balikesir,M,25-34,Paid Social,True,0,0.0,
CUST-00122,Deniz Erdoğan,2024-06-17,2024-06-10,Istanbul,M,45-54,Direct,True,2,12563.0,2025-03-13
CUST-00123,Nehir Sarı,2024-07-04,2024-06-23,Adana,F,55+,Organic Search,True,2,13022.0,2024-11-30
CUST-00124,Mina Bayrak,2024-11-16,2024-11-05,Sanliurfa,F,35-44,Paid Social,True,1,938.0,2025-03-24
CUST-00125,Pelin Öztürk,2024-06-25,2024-06-18,Tekirdag,F,35-44,Direct,True,0,0.0,
CUST-00126,Ece Yılmaz,2024-09-04,2024-09-04,Istanbul,F,25-34,Organic Search,False,0,0.0,
CUST-00127,Arda Ergin,2024-05-18,2024-05-05,Samsun,M,18-24,Organic Search,True,3,14734.0,2025-03-02
CUST-00128,Gizem Yıldırım,2024-11-07,2024-10-28,Mugla,F,35-44,Direct,True,1,659.0,2025-02-14
CUST-00129,Gökhan Sönmez,2024-06-02,2024-05-23,Ankara,M,18-24,Paid Social,True,1,609.0,2025-03-07
CUST-00130,Buse Çelik,2024-01-28,2024-01-24,Mugla,F,25-34,Paid Search,True,4,23591.0,2025-03-30
CUST-00131,Aykut Toprak,2024-12-26,2024-12-21,Bursa,M,35-44,Direct,True,1,6138.0,2024-11-28
CUST-00132,Arda Güler,2024-03-23,2024-03-22,Istanbul,M,18-24,Paid Social,False,2,16616.0,2025-03-03
CUST-00133,Gamze Sarı,2024-05-07,2024-05-05,Istanbul,F,35-44,Paid Social,True,1,2837.0,2025-02-19
CUST-00134,Mustafa Özdemir,2024-06-20,2024-06-20,Adana,M,35-44,Paid Search,False,1,3759.0,2025-03-21
CUST-00135,Merve Toprak,2024-06-20,2024-06-17,Izmir,F,55+,Paid Search,False,0,0.0,
CUST-00136,Esra Bayrak,2024-04-17,2024-04-07,Ankara,F,25-34,Organic Search,True,7,25515.0,2025-03-05
CUST-00137,Buse Uçar,2024-01-14,2024-01-04,Istanbul,F,25-34,Direct,True,2,7716.0,2025-03-19
CUST-00138,Mustafa Ergin,2024-06-27,2024-06-13,Istanbul,M,35-44,Organic Search,True,1,5677.0,2025-02-28
CUST-00139,Koray Güneş,2024-10-04,2024-09-26,Istanbul,M,25-34,Paid Search,False,4,22938.0,2024-12-25
CUST-00140,İbrahim Arslan,2024-09-18,2024-09-18,Istanbul,M,35-44,Direct,False,3,21611.0,2025-02-03
CUST-00141,Selin Aslan,2024-10-08,2024-09-27,Eskisehir,F,45-54,Paid Social,True,2,6615.0,2025-01-23
CUST-00142,Çağrı Ergin,2024-03-08,2024-03-01,Istanbul,M,35-44,Organic Search,False,0,0.0,
CUST-00143,Buse Şahin,2024-10-30,2024-10-27,Ankara,F,45-54,Paid Social,True,4,15869.0,2025-03-27
CUST-00144,Fatma Aktaş,2024-11-12,2024-11-04,Mersin,F,18-24,Organic Search,True,4,8823.0,2025-03-03
CUST-00145,Baran Şahin,2024-06-18,2024-06-17,Gaziantep,M,25-34,Direct,False,2,4088.0,2025-01-09
CUST-00146,Yağmur Erdoğan,2024-11-08,2024-11-01,Istanbul,F,18-24,Direct,True,6,19477.0,2025-01-20
CUST-00147,Gülşah Özdemir,2024-06-05,2024-05-22,Samsun,F,45-54,Direct,False,9,69223.0,2025-03-22
CUST-00148,Alper Sarı,2024-03-04,2024-03-04,Antalya,M,18-24,Paid Social,True,5,29819.0,2025-03-27
CUST-00149,Pınar Duman,2024-12-29,2024-12-24,Malatya,F,25-34,Paid Search,False,2,13497.0,2025-01-23
CUST-00150,Tolga Tuncer,2024-05-08,2024-05-07,Denizli,M,18-24,Paid Search,True,3,19729.0,2024-11-20
CUST-00151,İpek Sarı,2024-02-20,2024-02-10,Istanbul,F,18-24,Direct,True,0,0.0,
CUST-00152,Şeyma Aydın,2024-11-24,2024-11-21,Adana,F,18-24,Email,False,1,1419.0,2025-01-07
CUST-00153,Özge Tuncer,2024-11-21,2024-11-10,Bursa,F,35-44,Paid Social,False,0,0.0,
CUST-00154,Ezgi Yılmaz,2024-06-20,2024-06-08,Kayseri,F,25-34,Paid Social,True,3,14633.0,2024-12-12
CUST-00155,Emir Akgün,2024-06-23,2024-06-16,Diyarbakir,M,25-34,Paid Social,False,5,30957.0,2025-02-27
CUST-00156,Deniz Aydın,2024-09-11,2024-09-07,Adana,M,35-44,Direct,True,0,0.0,
CUST-00157,Orhan Keskin,2024-08-03,2024-07-25,Istanbul,M,25-34,Organic Search,True,2,5837.0,2024-11-20
CUST-00158,İpek Özdemir,2024-06-16,2024-06-13,Antalya,F,45-54,Paid Search,False,3,7496.0,2025-01-05
CUST-00159,Enes Güneş,2024-09-11,2024-09-01,Aydin,M,25-34,Referral,True,0,0.0,
CUST-00160,Caner Arslan,2024-03-28,2024-03-19,Aydin,M,35-44,Direct,True,4,18103.0,2025-03-15
CUST-00161,Elif Çetin,2024-08-09,2024-08-08,Istanbul,F,25-34,Direct,True,5,15180.0,2024-12-31
CUST-00162,Yağmur Tekin,2024-08-02,2024-08-02,Ankara,F,55+,Direct,True,0,0.0,
CUST-00163,Serap Koç,2024-10-27,2024-10-18,Konya,F,18-24,Paid Social,True,0,0.0,
CUST-00164,Koray Koç,2024-07-16,2024-07-08,Trabzon,M,25-34,Paid Social,True,2,18953.0,2025-02-11
CUST-00165,Gökhan Aydın,2024-08-09,2024-08-06,Konya,M,18-24,Organic Search,False,1,4767.0,2025-03-28
CUST-00166,Ebru Toprak,2024-02-25,2024-02-22,Ankara,F,25-34,Organic Search,True,3,16302.0,2025-03-24
CUST-00167,Pınar Keskin,2024-04-03,2024-03-21,Istanbul,F,25-34,Organic Search,True,2,7587.0,2024-11-07
CUST-00168,Aykut Acar,2024-01-21,2024-01-19,Istanbul,M,18-24,Organic Search,True,2,4598.0,2025-01-23
CUST-00169,Yiğit Akgün,2024-12-01,2024-11-27,Istanbul,M,55+,Direct,True,5,34265.0,2025-03-19
CUST-00170,Ezgi Çetin,2024-07-22,2024-07-20,Trabzon,F,35-44,Organic Search,True,0,0.0,
CUST-00171,Ezgi Akgün,2024-11-25,2024-11-11,Antalya,F,25-34,Organic Search,False,4,20691.0,2025-03-28
CUST-00172,Mehmet Kılıç,2024-10-12,2024-09-28,Izmir,M,25-34,Organic Search,False,0,0.0,
CUST-00173,Fulya Yalçın,2024-02-03,2024-01-26,Istanbul,F,25-34,Paid Social,False,4,19482.0,2025-03-18
CUST-00174,Mert Ergin,2024-11-22,2024-11-14,Balikesir,M,25-34,Direct,True,2,6436.0,2025-03-19
CUST-00175,Yağmur Bayrak,2024-11-06,2024-10-26,Manisa,F,45-54,Direct,True,3,11622.0,2024-11-15
CUST-00176,Kübra Çetin,2024-02-19,2024-02-10,Ankara,F,45-54,Organic Search,True,2,13323.0,2025-02-10
CUST-00177,Fatih Taş,2024-02-17,2024-02-17,Istanbul,M,25-34,Paid Search,True,2,6408.0,2025-03-28
CUST-00178,Burak Bozkurt,2024-11-23,2024-11-19,Bursa,M,25-34,Direct,True,4,11831.0,2025-03-26
CUST-00179,Pınar Aksoy,2024-10-04,2024-09-26,Ankara,F,25-34,Direct,False,3,13196.0,2025-03-31
CUST-00180,Damla Bayrak,2024-12-24,2024-12-13,Mugla,F,18-24,Organic Search,False,0,0.0,
CUST-00181,İbrahim Aslan,2024-09-25,2024-09-13,Bursa,M,25-34,Direct,True,0,0.0,
CUST-00182,Selim Gündüz,2024-01-27,2024-01-26,Izmir,M,45-54,Direct,False,2,3868.0,2024-11-17
CUST-00183,Aslı Güneş,2024-02-20,2024-02-20,Hatay,F,35-44,Paid Social,True,0,0.0,
CUST-00184,Pelin Yalçın,2024-02-07,2024-01-25,Izmir,F,18-24,Organic Search,True,0,0.0,
CUST-00185,Ceren Demir,2024-10-25,2024-10-17,Adana,F,35-44,Direct,False,3,17601.0,2024-12-29
CUST-00186,Murat Yıldız,2024-05-31,2024-05-25,Ankara,M,25-34,Direct,True,8,17700.0,2025-03-13
CUST-00187,Hasan Sarı,2024-06-06,2024-05-24,Antalya,M,35-44,Paid Social,True,9,40684.0,2025-03-08
CUST-00188,Levent Kılıç,2024-08-22,2024-08-13,Istanbul,M,18-24,Paid Social,True,0,0.0,
CUST-00189,Özge Öztürk,2024-09-23,2024-09-09,Samsun,F,25-34,Organic Search,True,0,0.0,
CUST-00190,Damla Tekin,2024-04-30,2024-04-25,Izmir,F,55+,Paid Social,True,5,11004.0,2025-03-22
CUST-00191,Uğur Öztürk,2024-05-09,2024-05-03,Afyonkarahisar,M,35-44,Direct,False,5,12125.0,2025-03-24
CUST-00192,Didem Bayrak,2024-09-18,2024-09-18,Istanbul,F,35-44,Organic Search,False,1,3079.0,2024-11-06
CUST-00193,Merve Sarı,2024-03-21,2024-03-16,Kocaeli,F,25-34,Organic Search,True,6,27177.0,2025-03-17
CUST-00194,Tuncay Duman,2024-04-19,2024-04-08,Istanbul,M,25-34,Organic Search,True,4,28150.0,2025-03-28
CUST-00195,Büşra Yıldırım,2024-02-13,2024-02-03,Izmir,F,55+,Organic Search,True,0,0.0,
CUST-00196,Uğur Güneş,2024-10-18,2024-10-11,Balikesir,M,45-54,Direct,False,4,13104.0,2025-03-28
CUST-00197,Batuhan Acar,2024-05-16,2024-05-13,Istanbul,M,35-44,Paid Social,True,6,28978.0,2025-02-04
CUST-00198,Gökhan Bayrak,2024-08-07,2024-07-28,Izmir,M,35-44,Organic Search,True,0,0.0,
CUST-00199,Nehir Yılmaz,2024-01-25,2024-01-22,Istanbul,F,25-34,Paid Social,True,1,3849.0,2025-03-12
CUST-00200,Alper Koç,2024-04-16,2024-04-09,Ankara,M,55+,Organic Search,True,1,3379.0,2024-10-04
CUST-00201,Nehir Güneş,2024-07-04,2024-06-28,Istanbul,F,25-34,Organic Search,True,2,4967.0,2025-01-08
CUST-00202,İbrahim Akgün,2024-05-29,2024-05-26,Sakarya,M,35-44,Organic Search,True,2,9144.0,2024-11-29
CUST-00203,Uğur Yılmaz,2024-03-21,2024-03-14,Kocaeli,M,18-24,Direct,True,2,3958.0,2024-11-07
CUST-00204,Meltem Şimşek,2024-05-31,2024-05-18,Ankara,F,35-44,Direct,False,1,6127.0,2024-11-01
CUST-00205,Kübra Gündüz,2024-02-26,2024-02-15,Ankara,F,25-34,Direct,True,1,9166.0,2024-12-10
CUST-00206,Şeyma Kaya,2024-07-09,2024-07-04,Aydin,F,45-54,Organic Search,True,5,29457.0,2025-02-10
CUST-00207,Mert Özkan,2024-06-21,2024-06-11,Diyarbakir,M,25-34,Paid Social,False,3,16742.0,2024-10-23
CUST-00208,Hazal Gündüz,2024-03-30,2024-03-28,Hatay,F,35-44,Paid Social,True,2,22712.0,2025-02-03
CUST-00209,Merve Yıldız,2024-03-14,2024-03-11,Konya,F,25-34,Direct,True,4,33015.0,2025-02-02
CUST-00210,Gamze Güler,2024-07-03,2024-06-24,Izmir,F,25-34,Organic Search,True,4,23312.0,2024-12-10
CUST-00211,Yiğit Kara,2024-11-20,2024-11-09,Istanbul,M,35-44,Organic Search,False,1,1849.0,2024-11-22
CUST-00212,Uğur Sarı,2024-01-13,2024-01-01,Diyarbakir,M,25-34,Organic Search,False,4,15222.0,2025-02-27
CUST-00213,Hasan Uçar,2024-07-13,2024-07-10,Istanbul,M,25-34,Direct,False,2,748.0,2024-10-22
CUST-00214,Mehmet Demir,2024-11-25,2024-11-12,Mugla,M,45-54,Paid Social,True,4,16029.0,2025-02-20
CUST-00215,Buse Güler,2024-03-31,2024-03-23,Antalya,F,18-24,Direct,True,1,6646.0,2024-12-09
CUST-00216,Seda Gündüz,2024-11-22,2024-11-18,Izmir,F,45-54,Organic Search,False,5,60639.0,2025-01-02
CUST-00217,Tuğçe Aksoy,2024-05-09,2024-05-05,Izmir,F,18-24,Paid Search,False,5,32887.0,2025-03-03
CUST-00218,Kübra Kahraman,2024-02-06,2024-01-23,Eskisehir,F,25-34,Organic Search,True,2,8367.0,2024-12-10
CUST-00219,Ebru Çetin,2024-01-23,2024-01-18,Kocaeli,F,18-24,Paid Social,False,3,5597.0,2025-02-27
CUST-00220,Yağmur Çetin,2024-05-09,2024-05-03,Izmir,F,35-44,Paid Search,True,0,0.0,
CUST-00221,Hande Uçar,2024-12-30,2024-12-18,Istanbul,F,25-34,Organic Search,False,0,0.0,
CUST-00222,Aykut Kaplan,2024-10-19,2024-10-15,Izmir,M,35-44,Paid Social,False,2,6167.0,2024-12-10
CUST-00223,Onur Yıldırım,2024-05-11,2024-05-09,Kayseri,M,35-44,Organic Search,False,9,48220.0,2025-03-08
CUST-00224,Pınar Korkmaz,2024-07-22,2024-07-10,Afyonkarahisar,F,35-44,Paid Social,True,4,15592.0,2025-03-19
CUST-00225,Esra Özdemir,2024-01-21,2024-01-09,Bursa,F,25-34,Organic Search,True,6,38463.0,2025-03-31
